player_name,player_id,team_id,match_id,innings,overs,maidens,runs,wickets,economy,wides,no_ball
Fazalhaq Farooqi,12,1,34,1,5.0,0,36,0,7.2,2,0
Azmatullah Omarzai,7,1,34,1,3.0,0,11,0,3.66,0,0
Mohammad Nabi,8,1,34,1,9.3,1,28,3,2.94,1,0
Rashid Khan,10,1,34,1,10.0,0,31,0,3.1,3,0
Noor Ahmad,15,1,34,1,9.0,0,31,2,3.44,3,0
Aryan Dutt,93,6,34,2,8.3,0,49,0,5.76,3,0
Logan van Beek,95,6,34,2,7.0,0,30,1,4.28,2,0
Paul van Meekeren,96,6,34,2,5.0,0,35,0,7.0,1,1
Roelof van der Merwe,92,6,34,2,5.0,0,27,1,5.4,0,0
Saqib Zulfiqar,91,6,34,2,3.0,0,25,1,8.33,0,1
Colin Ackermann,87,6,34,2,3.0,0,12,0,4.0,1,0
Shaheen Shah Afridi,127,8,35,1,10.0,0,90,0,9.0,5,0
Hasan Ali,126,8,35,1,10.0,0,82,1,8.2,2,1
Iftikhar Ahmed,117,8,35,1,8.0,0,55,1,6.87,0,0
Haris Rauf,125,8,35,1,10.0,0,85,1,8.5,2,0
Mohammad Wasim,123,8,35,1,10.0,0,60,3,6.0,3,0
Agha Salman,121,8,35,1,2.0,0,21,0,10.5,1,0
Trent Boult,108,7,35,2,6.0,0,50,0,8.33,2,0
Tim Southee,112,7,35,2,5.0,0,27,1,5.4,0,0
Mitchell Santner,107,7,35,2,5.0,0,35,0,7.0,0,0
Glenn Phillips,105,7,35,2,5.0,1,42,0,8.4,0,0
Ish Sodhi,111,7,35,2,4.0,0,44,0,11.0,1,0
Daryl Mitchell,103,7,35,2,0.3,0,1,0,2.0,0,0
David Willey,59,4,36,1,10.0,1,48,1,4.8,1,0
Chris Woakes,60,4,36,1,9.3,0,54,4,5.68,0,0
Mark Wood,63,4,36,1,10.0,0,70,2,7.0,3,0
Liam Livingstone,57,4,36,1,6.0,0,42,1,7.0,0,0
Moeen Ali,54,4,36,1,4.0,0,28,0,7.0,0,0
Adil Rashid,62,4,36,1,10.0,0,38,2,3.8,0,0
Mitchell Starc,29,2,36,2,10.0,0,66,2,6.6,4,0
Josh Hazlewood,28,2,36,2,9.1,1,49,2,5.34,2,0
Pat Cummins,27,2,36,2,10.0,1,49,2,4.9,0,0
Adam Zampa,30,2,36,2,10.0,0,21,3,2.1,2,0
Travis Head,17,2,36,2,5.0,0,28,0,5.6,0,0
Marcus Stoinis,26,2,36,2,4.0,0,34,1,8.5,0,0
Lungi Ngidi,140,9,37,1,8.2,0,63,1,7.56,2,0
Marco Jansen,136,9,37,1,9.4,0,94,1,9.72,7,1
Kagiso Rabada,141,9,37,1,10.0,1,48,1,4.8,0,0
Keshav Maharaj,139,9,37,1,10.0,0,30,1,3.0,1,0
Tabraiz Shamsi,142,9,37,1,10.0,0,72,1,7.2,7,1
Aiden Markram,133,9,37,1,2.0,0,17,0,8.5,1,0
Jasprit Bumrah,76,5,37,2,5.0,0,14,0,2.8,1,0
Mohammed Siraj,79,5,37,2,4.0,1,11,1,2.75,0,0
Ravindra Jadeja,73,5,37,2,9.0,1,33,5,3.66,0,0
Mohammed Shami,78,5,37,2,4.0,0,18,2,4.5,1,0
Kuldeep Yadav,77,5,37,2,5.1,1,7,2,1.35,0,0
Shoriful Islam,45,3,38,1,9.3,0,51,2,5.36,1,0
Taskin Ahmed,47,3,38,1,10.0,1,39,0,3.9,1,0
Tanzim Hasan Sakib,46,3,38,1,10.0,0,80,3,8.0,2,0
Shakib Al Hasan,41,3,38,1,10.0,0,57,2,5.7,0,0
Mehidy Hasan Miraz,40,3,38,1,10.0,0,49,1,4.9,0,0
Dilshan Madushanka,158,10,38,2,10.0,1,69,3,6.9,4,0
Maheesh Theekshana,160,10,38,2,9.0,0,44,2,4.88,3,0
Kasun Rajitha,159,10,38,2,4.0,0,47,0,11.75,0,0
Dushmantha Chameera,157,10,38,2,8.0,0,54,0,6.75,2,0
Angelo Mathews,155,10,38,2,7.1,1,35,2,4.88,1,0
Dhananjaya de Silva,152,10,38,2,3.0,0,20,0,6.66,0,0
Mitchell Starc,29,2,39,1,9.0,0,70,1,7.77,5,0
Josh Hazlewood,28,2,39,1,9.0,0,39,2,4.33,1,0
Glenn Maxwell,25,2,39,1,10.0,0,55,1,5.5,0,1
Pat Cummins,27,2,39,1,8.0,0,47,0,5.87,1,0
Adam Zampa,30,2,39,1,10.0,0,58,1,5.8,2,0
Travis Head,17,2,39,1,3.0,0,15,0,5.0,0,0
Marcus Stoinis,26,2,39,1,1.0,0,2,0,2.0,0,0
Mujeeb Ur Rahman,13,1,39,2,8.5,1,72,0,8.15,0,0
Naveen-ul-Haq,14,1,39,2,9.0,0,47,2,5.22,1,0
Azmatullah Omarzai,7,1,39,2,7.0,1,52,2,7.42,1,0
