player_name,player_id,team_id,match_id,runs,balls_faced,fours,sixes,strike_rate,dnb,is_out,dismissal_type
Shardul Thakur,81,5,9,0,0,0,0,0,1,0,
Kuldeep Yadav,77,5,9,0,0,0,0,0,1,0,
Jasprit Bumrah,76,5,9,0,0,0,0,0,1,0,
Mohammed Siraj,79,5,9,0,0,0,0,0,1,0,
Quinton de Kock,130,9,10,109,106,8,5,102.83,0,1, b Maxwell
Temba Bavuma,129,9,10,35,55,2,0,63.63,0,1,c Warner b Maxwell
Rassie van der Dussen,135,9,10,26,30,2,0,86.66,0,1,c sub (SA Abbott) b Zampa
Aiden Markram,133,9,10,56,44,7,1,127.27,0,1,c Hazlewood b Cummins
Heinrich Klaasen,132,9,10,29,27,3,0,107.40,0,1,c †Inglis b Hazlewood
David Miller,134,9,10,17,13,1,1,130.76,0,1, b Starc
Marco Jansen,136,9,10,26,22,3,1,118.18,0,1,c Warner b Starc
Kagiso Rabada,141,9,10,0,1,0,0,0.00,0,0,
Keshav Maharaj,139,9,10,0,2,0,0,0.00,0,0,
Quinton de Kock,130,9,10,0,0,0,0,0,1,0,
Temba Bavuma,129,9,10,0,0,0,0,0,1,0,
Lungi Ngidi,140,9,10,0,0,0,0,0,1,0,
Tabraiz Shamsi,142,9,10,0,0,0,0,0,1,0,
Mitchell Marsh,24,2,10,7,15,0,0,46.66,0,1,c Bavuma b Jansen
David Warner,21,2,10,13,27,2,0,48.14,0,1,c van der Dussen b Ngidi
Steven Smith,20,2,10,19,16,4,0,118.75,0,1,lbw b Rabada
Marnus Labuschagne,19,2,10,46,74,3,0,62.16,0,1,c Bavuma b Maharaj
Josh Inglis,18,2,10,5,4,1,0,125.00,0,1, b Rabada
Glenn Maxwell,25,2,10,3,17,0,0,17.64,0,1,c & b Maharaj
Marcus Stoinis,26,2,10,5,4,1,0,125.00,0,1,c †de Kock b Rabada
Mitchell Starc,29,2,10,27,51,3,0,52.94,0,1,c †de Kock b Jansen
Pat Cummins,27,2,10,22,21,4,0,104.76,0,1,c Miller b Shamsi
Adam Zampa,30,2,10,11,16,1,0,68.75,0,0,
Josh Hazlewood,28,2,10,2,2,0,0,100.00,0,1,c Rabada b Shamsi
Litton Das,34,3,11,0,1,0,0,0.00,0,1,c Henry b Boult
Tanzid Hasan,36,3,11,16,17,4,0,94.11,0,1,c Conway b Ferguson
Mehidy Hasan Miraz,40,3,11,30,46,4,0,65.21,0,1,c Henry b Ferguson
Najmul Hossain Shanto,32,3,11,7,8,1,0,87.50,0,1,c Conway b Phillips
